"Código","Longitud","Latitud"
"16301","-5,861615","43,476024"
"16302","-5,869255","43,507312"
"16400","-5,870232","43,523387"
"16401","-5,902201","43,540271"
"16402","-5,904731","43,547078"
"16403","-5,922825","43,561283"
"16404","-5,928641","43,575691"
"16405","-5,931319","43,587903"
"16406","",""
"16407","",""
"16408","-5,884934","43,535971"
"16501","-5,863058","43,555384"
"16601","-5,723564","43,555109"
"16604","-5,688692","43,552383"
"16605","",""
"16606","",""
"17000","-3,681469","40,47353"
"17001","-3,681896","40,502512"
"17003","-3,713954","40,558784"
"17004","-3,715558","40,598548"
"17005","-3,776629","40,645225"
"17006","-3,793578","40,717379"
"17007","-3,766652","40,758247"
"17008","-3,752156","40,806913"
"17009","-3,700197","40,543861"
"17010","",""
"17100","-3,686944","40,849915"
"17102","-3,650911","40,902688"
"17103","-3,715956","40,952097"
"17105","-3,674078","41,028309"
"17106","-3,642857","41,043805"
"17107","-3,590478","41,1077"
"17108","-3,563486","41,180678"
"17109","-3,507362","41,257549"
"17110","-3,600967","41,331413"
"17111","-3,543353","41,42967"
"17112","-3,543028","41,502912"
"17113","-3,626934","41,596308"
"17114","-3,692847","40,922603"
"17115","-3,625032","41,087813"
"17116","-3,597198","41,590535"
"17117","-3,62221","41,063234"
"17200","-3,696761","41,668716"
"17201","-3,670825","41,774393"
"17203","",""
"17204","-3,769921","41,935317"
"17205","-3,772681","42,022132"
"17206","-3,734639","42,117815"
"17208","-3,70541","42,250442"
"17209","",""
"18000","-3,689084","40,406105"
"18001","-3,691921","40,422536"
"18002","-3,690645","40,446619"
"18003","-3,678389","40,395602"
"18004","-3,691443","40,399735"
"18005","-3,711317","40,402619"
"18101","-3,703119","40,416927"
"18102","",""
"18103","",""
"19001","-3,683705","40,553977"
"19002","-3,654136","40,547455"
"19003","-3,635012","40,546623"
"19004","-3,692583","40,553334"
"20002","-5,637936","42,550138"
"20003","-5,745568","42,521569"
"20004","-5,820236","42,476492"
"20005","-5,887603","42,433542"
"20006","-5,964048","42,414327"
"20007","-6,007954","42,424436"
"20008","-5,838852","42,464577"
"20100","-6,047247","42,459449"
"20101","",""
"20102","-6,068013","42,553163"
"20103","-6,108371","42,598954"
