Fecha	T.ida	T.vuelta
20240112	21249	21156
20240112	21156	21263
20240112	21263	21168
20240112	21168	39013
20240112	39013	
20240112	21104	21211
20240112	21211	21118
20240112	21118	21225
20240112	21225	21132
20240112	21132	21239
20240112	21239	21146
20240112	21146	21253
20240112	21253	37088
20240112	37088	39090
20240112	39090	
20240112	21104	21211
20240112	21211	21118
20240112	21118	21225
20240112	21225	21132
20240112	21132	21239
20240112	21239	21146
20240112	21146	21253
20240112	21253	37088
20240112	37088	39090
20240112	39090	
20240112	39007	21106
20240112	21106	21213
20240112	21213	21120
20240112	21120	21227
20240112	21227	21134
20240112	21134	21241
20240112	21241	21148
20240112	21148	21255
20240112	21255	21160
20240112	21160	21267
20240112	21267	
20240112	39007	21106
20240112	21106	21213
20240112	21213	21120
20240112	21120	21227
20240112	21227	21134
20240112	21134	21241
20240112	21241	21148
20240112	21148	21255
20240112	21255	21160
20240112	21160	21267
20240112	21267	
20240112	37020	27797
20240112	27797	21201
20240112	21201	21108
20240112	21108	21215
20240112	21215	21122
20240112	21122	21229
20240112	21229	21136
20240112	21136	21243
20240112	21243	21150
20240112	21150	21257
20240112	21257	21162
20240112	21162	21269
20240112	21269	
20240112	37020	27797
20240112	27797	21201
20240112	21201	21108
20240112	21108	21215
20240112	21215	21122
20240112	21122	21229
20240112	21229	21136
20240112	21136	21243
20240112	21243	21150
20240112	21150	21257
20240112	21257	21162
20240112	21162	21269
20240112	21269	
20240112	21203	21110
20240112	21110	21217
20240112	21217	21124
20240112	21124	21231
20240112	21231	21138
20240112	21138	21245
20240112	21245	21152
20240112	21152	21259
20240112	21259	21164
20240112	21164	
20240112	21203	21110
20240112	21110	21217
20240112	21217	21124
20240112	21124	21231
20240112	21231	21138
20240112	21138	21245
20240112	21245	21152
20240112	21152	21259
20240112	21259	21164
20240112	21164	
20240112	21205	21112
20240112	21112	21219
20240112	21219	21126
20240112	21126	21233
20240112	21233	21140
20240112	21140	21247
20240112	21247	21154
20240112	21154	21261
20240112	21261	21166
20240112	21166	
20240112	21205	21112
20240112	21112	21219
20240112	21219	21126
20240112	21126	21233
20240112	21233	21140
20240112	21140	21247
20240112	21247	21154
20240112	21154	21261
20240112	21261	21166
20240112	21166	
20240112	21184	21290
20240112	21290	
20240112	21182	21292
20240112	21292	
20240112	20001	20008
20240112	20008	20173
20240112	20173	20663
20240112	20663	37132
20240112	37132	
20240112	20001	20008
20240112	20008	20173
20240112	20173	20663
20240112	20663	37132
20240112	37132	
20240112	20103	20100
20240112	20100	20117
20240112	20117	20116
20240112	20116	20031
20240112	20031	20040
20240112	20040	20141
20240112	20141	20136
20240112	20136	20155
20240112	20155	20064
20240112	20064	20165
20240112	20165	20152
20240112	20152	20085
20240112	20085	
20240112	20103	20100
20240112	20100	20117
20240112	20117	20116
20240112	20116	20031
20240112	20031	20040
20240112	20040	20141
20240112	20141	20136
20240112	20136	20155
20240112	20155	20064
20240112	20064	20165
20240112	20165	20152
20240112	20152	20085
20240112	20085	
20240112	20107	20102
20240112	20102	20017
20240112	20017	20038
20240112	20038	35937
20240112	35937	20132
20240112	20132	20059
20240112	20059	20060
20240112	20060	20163
20240112	20163	20148
20240112	20148	20081
20240112	20081	20084
20240112	20084	
20240112	20107	20102
20240112	20102	20017
20240112	20017	20038
20240112	20038	35937
20240112	35937	20132
20240112	20132	20059
20240112	20059	20060
20240112	20060	20163
20240112	20163	20148
20240112	20148	20081
20240112	20081	20084
20240112	20084	
20240112	20111	35916
20240112	35916	20119
20240112	20119	20120
20240112	20120	20027
20240112	20027	20032
20240112	20032	20131
20240112	20131	20130
20240112	20130	
20240112	20111	35916
20240112	35916	20119
20240112	20119	20120
20240112	20120	20027
20240112	20027	20032
20240112	20032	20131
20240112	20131	20130
20240112	20130	
20240112	20171	20110
20240112	20110	20023
20240112	20023	20028
20240112	20028	20127
20240112	20127	20126
20240112	20126	20041
20240112	20041	20044
20240112	20044	20145
20240112	20145	20138
20240112	20138	20067
20240112	20067	20070
20240112	20070	
20240112	20171	20110
20240112	20110	20023
20240112	20023	20028
20240112	20028	20127
20240112	20127	20126
20240112	20126	20041
20240112	20041	20044
20240112	20044	20145
20240112	20145	20138
20240112	20138	20067
20240112	20067	20070
20240112	20070	
20240112	20000	20003
20240112	20003	20012
20240112	20012	20019
20240112	20019	20024
20240112	20024	20125
20240112	20125	20124
20240112	20124	20035
20240112	20035	20042
20240112	20042	20053
20240112	20053	20054
20240112	20054	20157
20240112	20157	20144
20240112	20144	20075
20240112	20075	20082
20240112	20082	20087
20240112	20087	
20240112	20000	20003
